# Logfile created on 2019-11-18 01:33:47 +0000 by logger.rb/66358
[2019-11-18T01:33:48+00:00] INFO: Started chef-zero at chefzero://localhost:1 with repository at /opt/gitlab/embedded
  One version per cookbook

[2019-11-18T01:33:48+00:00] INFO: *** Chef 14.13.11 ***
[2019-11-18T01:33:48+00:00] INFO: Platform: x86_64-linux
[2019-11-18T01:33:48+00:00] INFO: Chef-client pid: 25
[2019-11-18T01:33:48+00:00] INFO: The plugin path /etc/chef/ohai/plugins does not exist. Skipping...
[2019-11-18T01:33:48+00:00] WARN: Plugin Network: unable to detect ipaddress
[2019-11-18T01:33:50+00:00] INFO: Setting the run_list to ["recipe[gitlab]"] from CLI options
[2019-11-18T01:33:50+00:00] INFO: Run List is [recipe[gitlab]]
[2019-11-18T01:33:50+00:00] INFO: Run List expands to [gitlab]
[2019-11-18T01:33:50+00:00] INFO: Starting Chef Run for gitlab.king.com
[2019-11-18T01:33:50+00:00] INFO: Running start handlers
[2019-11-18T01:33:50+00:00] INFO: Start handlers complete.
[2019-11-18T01:33:51+00:00] INFO: Loading cookbooks [gitlab@0.0.1, package@0.1.0, postgresql@0.1.0, redis@0.1.0, monitoring@0.1.0, registry@0.1.0, mattermost@0.1.0, consul@0.1.0, gitaly@0.1.0, praefect@0.1.0, letsencrypt@0.1.0, nginx@0.1.0, runit@4.3.0, acme@4.0.0, crond@0.1.0]
[2019-11-18T01:33:51+00:00] INFO: Storing updated cookbooks/gitlab/definitions/unicorn_config.rb in the cache.
[2019-11-18T01:33:51+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab_exporter.rb in the cache.
[2019-11-18T01:33:51+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab_pages.rb in the cache.
[2019-11-18T01:33:51+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab_shell.rb in the cache.
[2019-11-18T01:33:51+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helper.rb in the cache.
[2019-11-18T01:33:51+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/base_helper.rb in the cache.
[2019-11-18T01:33:51+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/base_pg_helper.rb in the cache.
[2019-11-18T01:33:51+00:00] INFO: Storing updated cookbooks/gitlab/README.md in the cache.
[2019-11-18T01:33:51+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/geo_pg_helper.rb in the cache.
[2019-11-18T01:33:51+00:00] INFO: Storing updated cookbooks/gitlab/libraries/account_helper.rb in the cache.
[2019-11-18T01:33:51+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/grafana_helper.rb in the cache.
[2019-11-18T01:33:51+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab_mattermost.rb in the cache.
[2019-11-18T01:33:51+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab_rails.rb in the cache.
[2019-11-18T01:33:51+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab_workhorse.rb in the cache.
[2019-11-18T01:33:51+00:00] INFO: Storing updated cookbooks/gitlab/definitions/unicorn_service.rb in the cache.
[2019-11-18T01:33:51+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/authorizer_helper.rb in the cache.
[2019-11-18T01:33:52+00:00] INFO: Storing updated cookbooks/gitlab/libraries/postgresql.rb in the cache.
[2019-11-18T01:33:52+00:00] INFO: Storing updated cookbooks/gitlab/attributes/default.rb in the cache.
[2019-11-18T01:33:52+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/pg_helper.rb in the cache.
[2019-11-18T01:33:52+00:00] INFO: Storing updated cookbooks/gitlab/libraries/logging.rb in the cache.
[2019-11-18T01:33:52+00:00] INFO: Storing updated cookbooks/gitlab/libraries/incoming_email.rb in the cache.
[2019-11-18T01:33:52+00:00] INFO: Storing updated cookbooks/gitlab/definitions/sidekiq_service.rb in the cache.
[2019-11-18T01:33:52+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/gitlab_rails.rb in the cache.
[2019-11-18T01:33:52+00:00] INFO: Storing updated cookbooks/gitlab/recipes/add_trusted_certs.rb in the cache.
[2019-11-18T01:33:52+00:00] INFO: Storing updated cookbooks/gitlab/libraries/nginx.rb in the cache.
[2019-11-18T01:33:52+00:00] INFO: Storing updated cookbooks/gitlab/libraries/storage_check.rb in the cache.
[2019-11-18T01:33:52+00:00] INFO: Storing updated cookbooks/gitlab/libraries/pg_version.rb in the cache.
[2019-11-18T01:33:52+00:00] INFO: Storing updated cookbooks/gitlab/libraries/registry.rb in the cache.
[2019-11-18T01:33:52+00:00] INFO: Storing updated cookbooks/gitlab/libraries/unicorn.rb in the cache.
[2019-11-18T01:33:52+00:00] INFO: Storing updated cookbooks/gitlab/libraries/redis_helper.rb in the cache.
[2019-11-18T01:33:52+00:00] INFO: Storing updated cookbooks/gitlab/recipes/default.rb in the cache.
